s15_kw,s16_kw,s1_kw
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.318,0.339,0.02
1.147,1.224,0.08
2.176,2.321,0.15
4.477,4.775,0.3
6.956,7.421,0.47
5.32,5.674,0.35
7.167,7.645,0.48
6.752,7.202,0.45
5.088,5.427,0.34
6.029,6.43,0.4
1.391,1.483,0.09
0.232,0.248,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.443,1.54,0.1
4.634,4.943,0.31
8.448,9.011,0.56
9.924,10.586,0.66
11.959,12.756,0.8
11.284,12.037,0.75
13.417,14.312,0.9
12.115,12.924,0.81
10.281,10.966,0.69
7.46,7.958,0.5
4.515,4.816,0.3
1.351,1.442,0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.973,1.037,0.06
3.307,3.528,0.22
7.151,7.627,0.48
10.987,11.719,0.73
12.358,13.183,0.83
11.032,11.767,0.74
12.193,13.006,0.81
10.096,10.77,0.67
5.562,5.933,0.37
3.944,4.208,0.26
2.26,2.412,0.15
0.296,0.315,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.693,0.74,0.05
1.491,1.591,0.1
4.467,4.764,0.3
4.224,4.506,0.28
9.828,10.484,0.66
5.644,6.02,0.38
7.807,8.328,0.52
8.925,9.52,0.6
4.688,5.001,0.31
2.42,2.582,0.16
1.793,1.913,0.12
0.565,0.603,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.904,0.964,0.06
5.091,5.431,0.34
7.637,8.147,0.51
10.437,11.133,0.7
9.331,9.954,0.62
8.179,8.725,0.55
9.566,10.203,0.64
13.177,14.055,0.88
11.616,12.39,0.77
6.337,6.759,0.42
3.945,4.209,0.26
1.215,1.297,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.407,0.435,0.03
1.336,1.426,0.09
3.581,3.82,0.24
6.804,7.258,0.45
5.73,6.111,0.38
4.22,4.501,0.28
5.991,6.39,0.4
6.477,6.908,0.43
9.722,10.37,0.65
7.409,7.902,0.49
4.083,4.355,0.27
1.365,1.457,0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.18,1.259,0.08
2.977,3.176,0.2
6.738,7.186,0.45
9.949,10.612,0.66
10.59,11.296,0.71
13.487,14.387,0.9
12.819,13.673,0.85
12.396,13.223,0.83
9.173,9.784,0.61
5.054,5.39,0.34
4.645,4.955,0.31
1.055,1.126,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.241,1.324,0.08
2.653,2.83,0.18
3.849,4.105,0.26
4.378,4.67,0.29
8.284,8.837,0.55
11.594,12.366,0.77
9.828,10.484,0.66
10.33,11.02,0.69
5.962,6.358,0.4
5.239,5.589,0.35
2.027,2.161,0.13
0.584,0.623,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.4,1.492,0.09
2.769,2.952,0.18
6.165,6.576,0.41
9.746,10.396,0.65
8.909,9.503,0.59
11.41,12.17,0.76
13.781,14.699,0.92
12.812,13.666,0.85
10.056,10.727,0.67
6.071,6.476,0.41
2.622,2.796,0.17
0.549,0.587,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.483,1.582,0.1
4.024,4.293,0.27
5.349,5.705,0.36
10.142,10.818,0.68
9.313,9.933,0.62
11.411,12.172,0.76
10.054,10.723,0.67
9.68,10.325,0.65
8.936,9.533,0.6
4.418,4.713,0.3
1.597,1.704,0.11
0.563,0.601,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.242,1.325,0.08
5.082,5.422,0.34
7.927,8.455,0.53
10.863,11.588,0.73
11.46,12.223,0.76
14.519,15.487,0.97
13.21,14.091,0.88
10.231,10.912,0.68
7.165,7.642,0.48
2.223,2.371,0.15
2.687,2.865,0.18
0.609,0.65,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.598,1.705,0.11
4.953,5.284,0.33
7.757,8.275,0.52
11.249,11.999,0.75
12.876,13.734,0.86
12.305,13.125,0.82
13.763,14.68,0.92
11.793,12.579,0.79
9.542,10.178,0.64
7.183,7.662,0.48
3.918,4.18,0.26
0.907,0.967,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.429,1.523,0.09
4.34,4.63,0.29
8.285,8.838,0.55
10.353,11.044,0.69
12.776,13.627,0.85
12.513,13.347,0.83
11.004,11.737,0.73
12.568,13.406,0.84
10.644,11.354,0.71
6.877,7.335,0.46
4.344,4.634,0.29
1.527,1.629,0.1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.424,1.519,0.1
3.268,3.487,0.22
6.738,7.186,0.45
7.883,8.407,0.52
8.362,8.919,0.56
7.539,8.043,0.5
2.758,2.942,0.18
7.68,8.192,0.51
5.1,5.441,0.34
4.815,5.137,0.32
2.158,2.301,0.14
0.753,0.803,0.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.983,1.049,0.07
1.996,2.128,0.13
1.135,1.211,0.08
2.482,2.647,0.17
4.847,5.171,0.32
4.667,4.978,0.31
3.812,4.066,0.25
6.828,7.283,0.46
3.568,3.806,0.24
2.361,2.518,0.16
0.572,0.609,0.04
0.361,0.386,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.295,0.315,0.02
2.758,2.943,0.19
3.599,3.839,0.24
3.812,4.066,0.25
6.585,7.025,0.44
8.155,8.699,0.54
8.157,8.701,0.54
8.504,9.071,0.57
3.211,3.426,0.22
2.594,2.766,0.17
3.753,4.002,0.25
0.568,0.607,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.446,1.543,0.1
3.732,3.98,0.25
6.233,6.648,0.42
11.22,11.969,0.75
10.411,11.105,0.69
3.056,3.259,0.2
7.462,7.96,0.5
9.942,10.605,0.66
6.826,7.281,0.46
5.17,5.514,0.34
1.618,1.725,0.11
0.867,0.925,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.483,0.515,0.03
1.087,1.16,0.07
4.168,4.446,0.28
5.605,5.979,0.37
6.827,7.282,0.46
5.988,6.386,0.4
9.603,10.242,0.64
5.164,5.509,0.35
6.487,6.919,0.43
2.787,2.973,0.19
2.784,2.97,0.19
0.593,0.633,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.022,0.023,0
0.638,0.681,0.04
1,1.067,0.07
2.574,2.745,0.17
1.491,1.589,0.1
4.917,5.244,0.33
1.405,1.498,0.09
0.444,0.474,0.03
0.593,0.632,0.04
0.241,0.257,0.02
0.48,0.512,0.03
0.377,0.402,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.448,1.544,0.1
5.21,5.557,0.35
8.68,9.258,0.58
9.21,9.825,0.62
12.844,13.7,0.86
12.928,13.79,0.86
11.368,12.126,0.76
11.797,12.584,0.79
10.8,11.52,0.72
8.007,8.54,0.53
4.186,4.465,0.28
1.034,1.104,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.923,2.052,0.13
4.775,5.094,0.32
7.25,7.734,0.48
10.752,11.469,0.72
12.204,13.018,0.81
13.826,14.747,0.92
12.44,13.269,0.83
11.414,12.175,0.76
10.069,10.739,0.67
7.036,7.505,0.47
4.63,4.939,0.31
1.256,1.339,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.828,1.949,0.12
5.161,5.505,0.34
8.836,9.426,0.59
11.22,11.968,0.75
11.501,12.267,0.77
11.845,12.635,0.79
11.044,11.781,0.74
9.598,10.238,0.64
9.708,10.355,0.65
7.04,7.508,0.47
3.858,4.114,0.26
1.344,1.432,0.09
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.425,1.52,0.1
3.968,4.232,0.26
6.894,7.353,0.46
10.477,11.176,0.7
11.685,12.463,0.78
12.749,13.6,0.85
9.745,10.394,0.65
8.199,8.745,0.55
10.307,10.994,0.69
6.928,7.39,0.46
3.164,3.374,0.21
0.824,0.879,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.24,1.323,0.08
3.481,3.714,0.23
3.579,3.817,0.24
5.44,5.804,0.36
4.82,5.141,0.32
7.487,7.986,0.5
8.935,9.531,0.6
9.899,10.559,0.66
6.988,7.454,0.47
1.743,1.858,0.12
0.866,0.924,0.06
0.597,0.637,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.948,1.011,0.06
3.025,3.226,0.2
5.438,5.801,0.36
6.795,7.247,0.45
9.118,9.727,0.61
10.875,11.601,0.73
11.273,12.025,0.75
6.129,6.537,0.41
4.817,5.139,0.32
5.838,6.226,0.39
3.336,3.558,0.22
0.455,0.486,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.913,2.041,0.13
4.42,4.714,0.29
5.712,6.092,0.38
10.328,11.016,0.69
11.761,12.546,0.79
10.727,11.442,0.72
11.184,11.93,0.75
11.729,12.51,0.78
8.993,9.593,0.6
6.19,6.603,0.41
3.637,3.878,0.24
0.864,0.922,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.338,0.361,0.02
2.916,3.112,0.2
5.344,5.699,0.36
7.815,8.336,0.52
7.216,7.697,0.48
7.285,7.772,0.49
12.14,12.948,0.81
12.43,13.258,0.83
9.61,10.25,0.64
4.641,4.95,0.31
2.212,2.359,0.15
1.04,1.109,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.367,1.457,0.09
4.226,4.508,0.28
7.828,8.349,0.52
10.051,10.721,0.67
11.773,12.558,0.79
10.053,10.722,0.67
9.472,10.103,0.63
10.746,11.463,0.72
8.156,8.7,0.54
6.639,7.082,0.44
4.055,4.325,0.27
1.034,1.103,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.546,1.648,0.1
4.579,4.885,0.31
6.37,6.794,0.42
7.808,8.328,0.52
5.846,6.236,0.39
4.865,5.188,0.32
4.09,4.363,0.27
4.53,4.832,0.3
3.393,3.619,0.23
5.652,6.029,0.38
3.267,3.485,0.22
0.791,0.844,0.05
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.851,1.975,0.12
3.181,3.393,0.21
7.405,7.899,0.49
7.907,8.435,0.53
10.847,11.57,0.72
10.499,11.2,0.7
7.147,7.624,0.48
7.383,7.875,0.49
6.993,7.459,0.47
6.586,7.026,0.44
2.895,3.088,0.19
0.824,0.879,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.982,1.048,0.07
1.558,1.661,0.1
1.159,1.235,0.08
1.013,1.081,0.07
3.522,3.757,0.24
1.184,1.263,0.08
1.433,1.529,0.1
4.067,4.338,0.27
7.442,7.939,0.5
4.383,4.674,0.29
0.784,0.836,0.05
0.497,0.531,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.95,2.08,0.13
4.172,4.45,0.28
5.64,6.016,0.38
6.47,6.902,0.43
7.417,7.913,0.5
10.743,11.459,0.72
11.347,12.104,0.76
9.358,9.982,0.62
5.818,6.206,0.39
5.88,6.272,0.39
4.267,4.551,0.28
0.632,0.675,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.025,2.159,0.13
4.955,5.286,0.33
4.358,4.649,0.29
3.376,3.6,0.22
10.886,11.611,0.73
10.592,11.297,0.71
11.722,12.503,0.78
7.093,7.566,0.47
3.379,3.605,0.23
1.747,1.862,0.12
3.488,3.721,0.23
0.933,0.996,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.912,2.04,0.13
4.322,4.611,0.29
7.021,7.489,0.47
10.27,10.954,0.68
12.318,13.139,0.82
11.86,12.651,0.79
11.548,12.317,0.77
10.964,11.694,0.73
8.686,9.265,0.58
7.059,7.53,0.47
4.493,4.792,0.3
1.18,1.26,0.08
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.765,1.883,0.12
4.656,4.967,0.31
6.416,6.844,0.43
7.793,8.312,0.52
9.225,9.841,0.62
11.266,12.017,0.75
11.346,12.102,0.76
9.567,10.205,0.64
6.893,7.352,0.46
6.288,6.707,0.42
3.825,4.08,0.26
1.025,1.093,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.577,1.682,0.11
4.525,4.826,0.3
7.632,8.141,0.51
8.753,9.337,0.58
12.684,13.53,0.85
12.768,13.618,0.85
11.776,12.561,0.79
10.006,10.674,0.67
7.631,8.14,0.51
6.548,6.986,0.44
3.513,3.747,0.23
1.016,1.084,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.01,2.144,0.13
4.618,4.926,0.31
7.226,7.708,0.48
10.337,11.026,0.69
11.181,11.926,0.75
10.137,10.813,0.68
11.819,12.607,0.79
11.007,11.74,0.73
8.072,8.611,0.54
5.637,6.013,0.38
3.825,4.081,0.26
0.981,1.047,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.252,2.401,0.15
5.588,5.961,0.37
7.493,7.992,0.5
10.435,11.132,0.7
9.575,10.214,0.64
11.04,11.775,0.74
12.057,12.861,0.8
10.921,11.649,0.73
8.936,9.532,0.6
6.436,6.864,0.43
4.077,4.348,0.27
1.021,1.089,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.963,1.027,0.06
3.158,3.369,0.21
6.472,6.904,0.43
6.669,7.114,0.45
9.17,9.782,0.61
8.451,9.015,0.56
5.985,6.384,0.4
8.385,8.944,0.56
8.709,9.289,0.58
6.295,6.715,0.42
3.291,3.511,0.22
0.961,1.026,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.133,0.142,0.01
1.258,1.341,0.08
2.37,2.528,0.16
3.487,3.719,0.23
7.702,8.217,0.52
11.905,12.699,0.79
12.502,13.336,0.83
13.118,13.992,0.87
7.725,8.24,0.52
6.614,7.055,0.44
4.278,4.564,0.29
3.064,3.268,0.2
0.968,1.033,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.152,0.162,0.01
1.652,1.762,0.11
4.148,4.424,0.28
7.628,8.135,0.51
11.112,11.853,0.74
12.238,13.053,0.82
12.487,13.32,0.83
12.362,13.187,0.83
9.936,10.598,0.66
9.217,9.832,0.62
7.225,7.707,0.48
3.413,3.64,0.23
0.989,1.055,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.157,0.168,0.01
2.129,2.271,0.14
5.266,5.618,0.35
8.216,8.764,0.55
10.065,10.737,0.67
11.888,12.68,0.79
10.761,11.479,0.72
10.662,11.372,0.71
10.141,10.817,0.68
9.398,10.024,0.63
6.268,6.686,0.42
3.264,3.481,0.22
0.992,1.058,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.176,0.187,0.01
1.551,1.655,0.1
4.303,4.59,0.29
7.765,8.283,0.52
10.27,10.955,0.69
11.089,11.829,0.74
11.668,12.447,0.78
10.775,11.493,0.72
8.894,9.488,0.59
8.801,9.389,0.59
5.637,6.012,0.38
3.858,4.115,0.26
0.956,1.019,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.179,0.192,0.01
1.556,1.66,0.1
4.065,4.335,0.27
8.387,8.947,0.56
10.287,10.972,0.69
12.186,12.998,0.81
10.726,11.441,0.72
11.774,12.559,0.79
11.069,11.807,0.74
8.611,9.185,0.57
6.44,6.87,0.43
3.503,3.736,0.23
0.9,0.961,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.169,0.179,0.01
1.999,2.132,0.13
4.672,4.982,0.31
7.43,7.925,0.5
8.589,9.161,0.57
8.862,9.454,0.59
10.636,11.345,0.71
9.951,10.615,0.66
10.027,10.696,0.67
8.898,9.491,0.59
6.066,6.47,0.4
3.093,3.3,0.21
0.945,1.008,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.199,0.212,0.01
1.934,2.064,0.13
4.528,4.83,0.3
8.046,8.582,0.54
7.741,8.257,0.52
9.299,9.919,0.62
8.481,9.046,0.57
10.885,11.61,0.73
10.861,11.585,0.72
10.103,10.776,0.67
7.315,7.802,0.49
3.063,3.268,0.21
0.953,1.016,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.175,0.187,0.01
1.612,1.72,0.11
3.074,3.279,0.21
6.997,7.464,0.47
5.884,6.276,0.39
7.419,7.914,0.5
10.562,11.266,0.7
10.247,10.93,0.68
10.959,11.689,0.73
6.866,7.324,0.46
5.228,5.576,0.35
2.522,2.689,0.17
0.822,0.877,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.19,0.203,0.01
1.492,1.591,0.1
2.778,2.962,0.18
6.364,6.788,0.42
8.102,8.642,0.54
10.605,11.312,0.71
11.962,12.76,0.8
11.601,12.375,0.77
9.737,10.386,0.65
8.388,8.947,0.56
4.526,4.827,0.3
2.015,2.15,0.14
0.908,0.969,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.194,0.208,0.01
1.785,1.905,0.12
4.23,4.512,0.28
6.661,7.104,0.44
10.062,10.733,0.67
9.912,10.573,0.66
11.378,12.136,0.76
11.74,12.522,0.78
9.879,10.537,0.66
8.054,8.592,0.54
5.307,5.66,0.35
3.742,3.992,0.25
0.948,1.012,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.242,0.258,0.02
1.889,2.014,0.13
4.398,4.69,0.29
4.901,5.229,0.33
6.131,6.539,0.41
10.701,11.414,0.71
9.528,10.164,0.64
9.935,10.598,0.66
9.1,9.706,0.61
5.609,5.983,0.37
4.465,4.763,0.3
2.182,2.327,0.15
0.894,0.955,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.243,0.26,0.02
2.038,2.174,0.14
4.277,4.562,0.29
3.889,4.147,0.26
3.543,3.78,0.24
9.455,10.086,0.63
8.731,9.312,0.58
9.776,10.427,0.65
11.456,12.22,0.76
7.755,8.272,0.52
3.605,3.845,0.24
2.538,2.707,0.17
0.465,0.497,0.03
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.133,0.142,0.01
1.363,1.454,0.09
2.305,2.458,0.15
3.123,3.332,0.21
4.05,4.319,0.27
6.089,6.496,0.41
4.278,4.563,0.29
3.078,3.283,0.21
2.263,2.414,0.15
4.666,4.977,0.31
2.439,2.601,0.16
1.694,1.807,0.11
0.283,0.302,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.256,0.274,0.02
2.185,2.332,0.15
5.32,5.675,0.36
7.281,7.767,0.49
8.99,9.589,0.6
11.693,12.473,0.78
11.545,12.314,0.77
10.674,11.385,0.71
9.337,9.96,0.62
8.092,8.632,0.54
5.767,6.152,0.39
4.034,4.304,0.27
0.913,0.973,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.161,0.173,0.01
1.742,1.858,0.12
3.703,3.949,0.25
5.394,5.754,0.36
6.377,6.802,0.43
10.46,11.158,0.7
8.268,8.819,0.55
9.961,10.625,0.66
8.425,8.987,0.56
6.617,7.058,0.44
4.825,5.147,0.32
1.41,1.505,0.1
0.294,0.313,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.064,0.069,0.01
2.273,2.423,0.15
5.671,6.048,0.38
8.665,9.242,0.58
9.75,10.4,0.65
11.894,12.687,0.79
12.081,12.886,0.81
12.425,13.254,0.83
8.871,9.462,0.59
9.527,10.162,0.64
7.118,7.592,0.47
4.122,4.397,0.28
0.931,0.993,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.239,0.255,0.02
1.757,1.875,0.12
4.152,4.429,0.28
5.906,6.3,0.39
8.892,9.484,0.59
11.786,12.571,0.79
11.563,12.334,0.77
11.205,11.952,0.75
11.417,12.178,0.76
9.033,9.634,0.6
7.021,7.49,0.47
4.016,4.283,0.27
0.929,0.992,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.298,0.318,0.02
1.309,1.396,0.09
3.62,3.86,0.24
3.829,4.085,0.26
5.652,6.028,0.38
8.091,8.631,0.54
9.784,10.436,0.65
8.867,9.459,0.59
10.814,11.535,0.72
9.993,10.66,0.67
7.466,7.964,0.5
3.477,3.708,0.23
0.918,0.978,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.136,0.144,0.01
2.193,2.34,0.15
5.582,5.954,0.37
7.399,7.893,0.49
9.845,10.502,0.66
11.642,12.419,0.78
12.937,13.8,0.86
12.714,13.561,0.85
11.956,12.753,0.8
9.652,10.296,0.64
7.313,7.801,0.49
3.894,4.155,0.26
0.886,0.945,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.103,0.11,0.01
2.142,2.285,0.14
5.085,5.425,0.34
7.832,8.353,0.52
9.516,10.151,0.64
11.721,12.502,0.78
12.202,13.015,0.81
11.104,11.844,0.74
10.347,11.037,0.69
8.565,9.136,0.57
7.008,7.474,0.47
4.09,4.363,0.27
0.89,0.948,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.338,0.361,0.02
1.687,1.799,0.11
2.486,2.651,0.17
5.356,5.713,0.36
6.697,7.144,0.45
9.135,9.744,0.61
6.991,7.456,0.47
5.532,5.901,0.37
1.651,1.76,0.11
1.593,1.7,0.11
3.431,3.659,0.23
1.427,1.522,0.1
0.287,0.307,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.318,0.339,0.02
2.021,2.155,0.13
3.716,3.964,0.25
1.732,1.847,0.12
2.439,2.603,0.16
6.174,6.585,0.41
4.466,4.764,0.3
5.373,5.731,0.36
5.176,5.521,0.35
5.056,5.393,0.34
3.551,3.789,0.24
0.517,0.552,0.04
0.906,0.967,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.261,0.279,0.02
2.231,2.381,0.15
4.057,4.329,0.27
4.719,5.034,0.32
6.286,6.705,0.42
6.327,6.748,0.42
7.516,8.016,0.5
9.845,10.502,0.66
9.03,9.632,0.6
9.141,9.751,0.61
6.23,6.645,0.42
3.571,3.809,0.24
0.938,1.001,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.309,0.33,0.02
1.966,2.096,0.13
4.297,4.584,0.29
7.784,8.302,0.52
7.092,7.565,0.47
6.733,7.183,0.45
8.001,8.535,0.53
11.09,11.83,0.74
9.627,10.269,0.64
7.285,7.771,0.49
5.585,5.958,0.37
2.999,3.2,0.2
1.021,1.088,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.383,0.408,0.03
1.771,1.89,0.12
4.705,5.019,0.31
6.693,7.139,0.45
7.315,7.804,0.49
8.236,8.786,0.55
8.105,8.644,0.54
8.205,8.752,0.55
9.448,10.078,0.63
5.779,6.164,0.39
3.536,3.772,0.24
2.667,2.846,0.18
1.032,1.101,0.07
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
